question_id;question
1;What was Korea's compliance rating for Recommendation 8 in its 2020 MER and what is the current re-rating as of 2024?
2;What steps has Korea taken to strengthen cooperation between agencies managing NPO data?
3;What specific guidance or tools has Korea provided to help NPOs self-assess their exposure to TF risks?
4;What sanctions are available for NPOs that fail to comply with reporting and disclosure requirements?
5;What role does the KoFIU play in combating terrorist financing in the NPO sector?
6;What progress has Korea made in addressing deficiencies identified in its MER regarding Recommendation 8?
7;What measures has Korea implemented to promote transparency and accountability in NPOs?
8;What measures has Korea implemented for periodic reassessment of the NPO sector?
9;What is the total number of Non-Profit Corporations (NPCs) identified in Korea under the Corporate Tax Act?
10;What conclusions can be drawn from Korea's re-rating to 'Largely Compliant' for Recommendation 8?
11;What are the remaining deficiencies in Korea's approach to monitoring high-risk NPOs?
12;What are the limitations of Korea's current sanctions for violations of R.8 requirements?
13;Is there a globally recognized database for tracking terrorist financing risks across all sectors, as recommended by the FATF?
14;How many Public Service Corporations (PSCs) are subject to disclosure requirements under the Inheritance Tax and Gift Tax Act?
15;How many organizations are exempt from reporting requirements and what are the reasons for their exemption under Korea's compliance framework?
16;How many internationally active NPOs have been identified as at higher risk of terrorist financing abuse?
17;How has Korea improved its monitoring and supervision of Non-Profit Organizations (NPOs)?
18;How has Korea addressed shortcomings in its outreach to high-risk NPOs and donor communities?
19;How effective is Korea's use of financial and administrative data for international cooperation on TF-related issues?
20;How does Korea plan to prevent money laundering in the Korean drama industry?
21;How does Korea identify NPOs that fall within the FATF definition?
22;How does Korea ensure risk-based supervision of NPOs?
23;Has Korea fully implemented a risk-based approach for monitoring NPOs at risk of terrorist financing (TF)?
24;Has Korea developed a comprehensive set of guidelines to combat terrorist financing abuse in the NPO sector, incorporating feedback from the NPO sector?
25;Can a kangaroo participate in a money laundering scheme if it hides the funds in its pouch?
26;Does Korea impose sanctions on NPO officers for non-compliance with reporting requirements under the Inheritance Tax and Gift Tax Act?
